,0,1,2,3,4,5,6,7,8,9,10,11,12
412,420,13,107,43,111,81,91,57,95,59,13,13,13
413,273,3,57,25,63,37,127,75,83,65,3,3,3
414,274,259,199,175,499,445,376,298,268,241,13,13,13
415,275,395,377,279,397,503,289,367,107,213,711,1025,853
416,276,6,30,54,44,48,20,34,24,6,16,78,64
417,277,164,151,168,154,190,158,229,165,122,222,162,10
418,278,138,161,219,113,124,107,136,107,109,143,207,15
419,279,4,4,4,4,4,4,184,4,4,4,4,4
420,280,13,13,13,13,13,13,149,81,13,13,13,13
421,281,19,19,19,19,19,19,19,19,19,19,19,19
422,282,8,8,8,104,234,198,170,131,86,8,8,8
423,375,12,12,12,12,12,12,52,40,26,12,12,12
424,284,4,4,4,4,4,4,204,94,88,4,4,4
425,285,17,17,17,88,81,87,37,25,45,17,17,17
426,377,7,7,7,7,7,7,7,31,7,7,7,7
427,286,57,21,137,17,17,243,161,141,125,17,337,133
428,421,10,10,10,10,10,10,10,14,11,10,10,10
429,101,11,11,11,11,11,11,11,11,11,11,11,11
430,102,4,4,4,4,4,4,4,4,4,4,4,4
431,103,257,37,105,297,265,281,189,137,121,389,553,309
432,104,176,185,170,221,233,209,161,227,131,428,407,305
433,105,199,127,91,227,139,115,135,115,71,175,175,295
434,106,461,389,507,491,603,415,399,469,317,573,461,433
435,107,230,154,266,126,298,122,140,146,230,150,342,180
436,108,633,355,443,605,803,389,591,585,357,75,495,265
437,109,202,210,254,154,298,130,390,202,230,10,130,282
438,110,15,15,15,15,83,27,15,15,63,23,15,15
439,111,227,67,115,259,247,155,175,243,239,79,131,87
440,112,19,7,7,7,7,7,7,7,7,7,7,7
441,113,203,215,211,339,307,439,119,307,207,299,223,279
442,114,20,20,20,20,20,23,32,20,32,20,20,35
443,115,15,11,11,23,24,30,13,22,13,15,20,11
444,116,10,18,22,10,10,38,34,10,10,10,10,10
445,117,12,33,12,12,12,12,12,12,12,12,27,12
446,287,27,35,19,51,35,35,27,43,27,299,83,19
447,121,180,244,340,228,244,260,196,292,244,212,548,324
448,122,204,144,171,156,192,60,252,120,192,12,348,159
449,422,198,38,22,54,118,38,38,102,150,6,70,166
450,288,15,15,19,25,39,27,19,37,31,9,9,9
451,423,117,69,63,87,123,60,81,114,117,15,15,15
452,424,20,20,20,20,20,20,20,20,20,20,20,20
453,425,4,4,4,4,4,4,4,4,4,4,4,4
454,426,8,8,8,8,8,8,8,8,28,8,8,8
455,123,124,36,40,46,104,80,80,24,104,180,144,172
456,289,4,4,26,12,22,14,32,4,4,90,58,14
457,427,42,24,28,62,54,32,42,62,90,304,160,73
458,406,35,43,27,47,59,27,27,43,99,371,75,19
459,124,499,199,544,388,787,265,2509,3583,3955,3193,1441,568
460,338,9,9,9,9,9,9,9,9,9,9,9,9
461,428,17,9,17,9,13,13,21,41,33,209,9,11
462,339,232,152,172,144,224,144,216,408,624,752,568,244
463,126,5,9,13,3,9,33,17,21,18,73,156,18
464,127,56,74,54,134,134,178,242,272,448,906,256,158
465,128,180,54,230,82,154,204,266,210,178,2,2,2
